GSE,Cluster
GSE40407,Cluster1
GSE48568,Cluster2
GSE59620,Cluster3
GSE94758,Cluster4
GSE112996,Cluster5
GSE114989,Cluster6
GSE122688,Cluster7
GSE122689,Cluster7
GSE146161,Cluster8
GSE147196,Cluster9
GSE147580,Cluster10
GSE147665,Cluster11
GSE155722,Cluster12
GSE155723,Cluster12
GSE155724,Cluster12
GSE156231,Cluster13
GSE156232,Cluster13
GSE157711,Cluster14
GSE158803,Cluster15
GSE160711,Cluster16
GSE162798,Cluster17
GSE168233,Cluster18
GSE172416,Cluster19
GSE174743,Cluster20
GSE174749,Cluster20
GSE189925,Cluster21
GSE193460,Cluster22
GSE200563,Cluster23
GSE200916,Cluster24
GSE207592,Cluster25
GSE215858,Cluster26
GSE216055,Cluster27
GSE216069,Cluster28
GSE218989,Cluster29
GSE221322,Cluster30
GSE221733,Cluster31
GSE222859,Cluster32
GSE222901,Cluster33
GSE223501,Cluster34
GSE227560,Cluster35
GSE228355,Cluster36
GSE229353,Cluster37
GSE235675,Cluster38
GSE237782,Cluster39
GSE237849,Cluster40
GSE242951,Cluster41
GSE244117,Cluster42
GSE244123,Cluster42
GSE245467,Cluster43
GSE249568,Cluster44
GSE250509,Cluster45
GSE252703,Cluster46
GSE259387,Cluster47
GSE260598,Cluster48
GSE260599,Cluster48
GSE261345,Cluster49
GSE261348,Cluster49
GSE261799,Cluster50
GSE263386,Cluster51
GSE265899,Cluster52
GSE268004,Cluster53
GSE268048,Cluster54
GSE268049,Cluster54
GSE268426,Cluster55
GSE268478,Cluster56
GSE268525,Cluster57
GSE269026,Cluster58
GSE270231,Cluster59
GSE271689,Cluster60
GSE272466,Cluster61
GSE272467,Cluster61
GSE272469,Cluster61
GSE283462,Cluster62
GSE283829,Cluster63
GSE285298,Cluster64
GSE285327,Cluster65
GSE285328,Cluster65
GSE285332,Cluster65
GSE285341,Cluster65
GSE291687,Cluster66
